mean_VV,variance_VV,min_VV,max_VV,mean_VH,variance_VH,min_VH,max_VH,mean_epsIA,variance_epsIA,min_epsIA,max_epsIA,scene_id,field_id,acquisition_time,data_type
-6.429512023925781,97.16484069824219,-31.110837936401367,0.0,-3.7255473136901855,35.140316009521484,-24.39063835144043,0.0,12.152510643005371,339.6488342285156,0.0,40.138397216796875,S1A_IW_SLC__1SDV_20250406T170739_20250406T170806_058639_07427F_22BA,Eitelsried_Fields_total,2025-04-06 17:07:39,backscatter
-6.3352131843566895,93.7939453125,-32.12836456298828,0.0,-3.8856875896453857,36.37726593017578,-24.655542373657227,0.0,11.655077934265137,309.22625732421875,0.0,38.21599197387695,S1A_IW_SLC__1SDV_20250410T052700_20250410T052727_058690_074497_8231,Eitelsried_Fields_total,2025-04-10 05:27:00,backscatter
-6.4688310623168945,96.53425598144531,-35.20612335205078,0.0,-3.895101308822632,36.500431060791016,-23.21623420715332,0.0,12.31849193572998,342.16717529296875,0.0,40.13208770751953,S1A_IW_SLC__1SDV_20250418T170739_20250418T170806_058814_0749A8_1E9C,Eitelsried_Fields_total,2025-04-18 17:07:39,backscatter
-6.376743316650391,97.02787780761719,-32.75165557861328,0.0,-4.14505672454834,43.36592102050781,-26.1872615814209,0.0,11.521296501159668,307.21917724609375,0.0,38.21615982055664,S1A_IW_SLC__1SDV_20250422T052700_20250422T052727_058865_074BC1_2FCF,Eitelsried_Fields_total,2025-04-22 05:27:00,backscatter
-6.911813259124756,112.378662109375,-32.64386749267578,0.0,-4.563396453857422,51.29890060424805,-30.76028823852539,0.0,12.157320022583008,339.6285095214844,0.0,40.130523681640625,S1A_IW_SLC__1SDV_20250430T170740_20250430T170807_058989_0750CA_7369,Eitelsried_Fields_total,2025-04-30 17:07:40,backscatter
-6.307436466217041,92.90602111816406,-32.11418914794922,0.0,-3.956820249557495,38.887943267822266,-24.683828353881836,0.0,11.710014343261719,309.99224853515625,0.0,38.2119140625,S1A_IW_SLC__1SDV_20250504T052700_20250504T052727_059040_0752C4_F8A5,Eitelsried_Fields_total,2025-05-04 05:27:00,backscatter
-6.8961005210876465,112.39954376220703,-34.42650604248047,0.0,-4.652351379394531,53.70159912109375,-27.92851448059082,0.0,12.102089881896973,338.68658447265625,0.0,40.12464141845703,S1A_IW_SLC__1SDV_20250512T170739_20250512T170806_059164_07574E_F1A8,Eitelsried_Fields_total,2025-05-12 17:07:39,backscatter
-6.889354705810547,110.7984848022461,-33.7608757019043,0.0,-4.583712100982666,51.24163818359375,-26.90642738342285,7.965565204620361,11.637834548950195,308.83782958984375,0.0,38.204689025878906,S1A_IW_SLC__1SDV_20250516T052700_20250516T052727_059215_075912_74A0,Eitelsried_Fields_total,2025-05-16 05:27:00,backscatter
-6.998773097991943,112.87832641601562,-36.9207878112793,0.0,-4.744095325469971,54.70105743408203,-27.35920524597168,0.0,12.3076171875,341.8551940917969,0.0,40.12039566040039,S1A_IW_SLC__1SDV_20250524T170739_20250524T170806_059339_075D5F_E4AE,Eitelsried_Fields_total,2025-05-24 17:07:39,backscatter
-6.249250888824463,91.8336181640625,-30.369136810302734,0.0,-3.9190475940704346,38.733436584472656,-24.797719955444336,0.0,11.61738109588623,308.46539306640625,0.0,38.19879913330078,S1A_IW_SLC__1SDV_20250528T052659_20250528T052726_059390_075F2B_7E71,Eitelsried_Fields_total,2025-05-28 05:26:59,backscatter
